word_ru,definition_ru,word_uz,definition_uz
КРЕСТНЫЙ РОДИТЕЛЬ,"Совершающий крещение, ставящийся в духовные отношения к ребёнку.",HUDOPARAN,""
НЕСОБЛЮДЕНИЕ ПРАВИЛ ТОРГОВЛИ,Нарушение установленных норм и стандартов в сфере торговли.,SAVDO,""
ФРАНЦУЗСКИЙ ЯЗЫК,"Язык, на котором говорят во Франции и других франкоязычных странах.",FRANSIZ,Fransuz - Fransiya davlatining aholisi yoki tilini ifodalovchi so'z.
ЗЛОУПОТРЕБЛЕНИЯ В ТОРГОВЛЕ,Неправомерное использование служебного положения для извлечения выгоды в торговле.,SAVDODAGI,""
ЗАБОР ВОДЫ,Процесс получения воды из источника для использования.,SUV,""
МЕМБРАНА,"Полупроницаемая пленка, отделяющая разные среды и позволяющая им обмениваться веществами.",MEMBRANA,Biror qism yoki hujayra atrofini qoplovchi yupqa qatlam.
ТАКТИЧЕСКИЙ ПРИЕМ,"Тактический прием — метод или способ действий, применяемый в конкретной ситуации для достижения поставленной цели.",TAKTIK,""
ТАКТИЧЕСКИЙ ХОД,"Действие, предпринимаемое для достижения временного преимущества в процессе игры или борьбы.",TAKTIK,""
ВОДОЗАБОР,"ВОДОЗАБОР — сооружение для забора воды из источников, таких как реки или водоёмы.",SUV,""
НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ,"Действие, нарушающее установленные нормы и правила в сфере торговли.",SAVDO,""
ГОРОДСКАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ,"Орган, ответственный за проведение выборов в городе и контроль за их законностью.",SHAHAR,""
ТАКТИКА,Способ достижения цели в конкретной ситуации.,TAKTIKA,Taktika – maqsadga erishish uchun rejalashtirilgan harakatlar tizimi.
ТАКТИЧЕСКИЕ ДЕЙСТВИЯ,"Систематические операции, проводимые для достижения конкретных целей в военной или стратегической сфере.",TAKTIK,""
ГОРИЗБИРКОМ,"ГОРИЗБИРКОМ — комиссия, занимающаяся выбором представителей на местных выборах.",GORIZBEKOM,GORIZBEKOM - qiyinchilik yoki muammo to'g'risida ogohlantiruvchi belgi yoki belgilar to‘plami.
НАРУШЕНИЕ ПРАВИЛ ПРОДАЖИ,"Действие, нарушающее установленные нормы и правила при продаже товаров или услуг.",SOTISH,Sotish - biror narsani pul evaziga boshqasiga o'tkazish jarayoni.
ТАНГАНЬИКА,"Танганьика – одно из крупнейших озёр мира, расположенное в Восточной Африке.",TANGANIKA,""
УЛЫБКА,Улыбка — выражение радости или дружелюбия с помощью движения губ.,TABAS,""
УЛЫБОЧКА,"Улыбка в виде небольшой, игривой или кокетливой улыбки.",TABAS,""
ЮРИСДИКЦИЯ СУДА,Компетенция суда по рассмотрению и разрешению судебных дел.,SUDNING,""
МЕРЗЛОСТЬ,"Мерзлость — состояние или качество чего-либо, характеризующееся сильным холодом или отрицательной температурой.",MUZLAGAN,""
ПОДВЕДОМСТВЕННОСТЬ ДЕЛ,Форма деления дел между разными судебными инстанциями или органами власти.,Ishlarning,""
ПОДВЕДОМСТВЕННОСТЬ СУДАМ,Компетенция судов рассматривать определённые категории дел.,SUDLARNING,""
РЕЦЕПТУРА,Систематизированные сведения о составлении и приготовлении какого-либо продукта или блюда.,RECEPT,""
СУДЕБНАЯ ЮРИСДИКЦИЯ,Судебная юрисдикция — это компетенция суда рассматривать и разрешать определённые категории дел.,SUDILIK,""
НЕПОДВЕДОМСТВЕННОСТЬ,"Неподведомственность — это состояние или качество, при котором что-либо не подлежит юрисдикции или компетенции определенного органа или суда.",YURISDIKSIYA,""
РЕЦЕПТ,Список ингредиентов и способ приготовления блюда или лекарства.,RECEPT,""
СУДЕБНАЯ ПОДВЕДОМСТВЕННОСТЬ,"Судебная подведомственность — это определённость, касающаяся компетенции органов власти для разрешения конкретных дел в судебном порядке.",SUDILIK,""
ПОДВЕДОМСТВЕННОСТЬ,"Подведомственность — юридическая категория, обозначающая принадлежность дела к компетенции определённого суда или органа.",YURISDIKSIYA,""
РЕЦЕПТ ИЗГОТОВЛЕНИЯ,Инструкция по приготовлению блюда или препарата.,TAYYORLASH,""
РЕЦЕПТУРА ИЗГОТОВЛЕНИЯ,Система инструкций для производства определённого продукта или блюда.,ISHLAB,""
РЕЦЕПТ ПРИГОТОВЛЕНИЯ,"Способ приготовления блюда, включающий ингредиенты и этапы процесса.",Pishirish,""
СЕЙСМОСТАНЦИЯ,Устройство или учреждение для наблюдения и регистрации землетрясений.,SEISMOSTATION,""
ПОСЕТИТЕЛЬНИЦА,"Женщина, посещающая какое-либо заведение, мероприятие или место с целью знакомства или участия.",MEHMON,Boshqa joydan kelgan yoki do'stona qabul qilingan kishi.
ЗАРУБЕЖ,"Зарубеж — это территория, находящаяся за пределами родной страны.",CHET,Chet - biror narsaning chekkasi yoki boshqa biror joydagi tashqi qismi.
ВИЗИТЕР,"Человек, посещающий кого-либо или какое-либо место, особенно на короткий срок.",MEHMON,""
ВИЗИТЕРША,"Женщина, посещающая кого-либо, обычно с целью общения или знакомства.",MEHMON,"Boshqa joydan kelgan kishi, qo'shni yoki do'st sifatida qabul qilingan inson."
ЗАРУБЕЖЬЕ,"Зарубежье - территории за пределами родной страны, зарубежные страны.",CHET,Chet - biror narsa yoki joydan uzoqda yoki tashqarida joylashgan qism.
СЕЙСМИЧЕСКАЯ СТАНЦИЯ,Устройство для регистрации и анализа сейсмических волн.,SEISMIK,""
СЕЙСМОЛОГИЧЕСКАЯ ОБСЕРВАТОРИЯ,"Научное учреждение, занимающееся изучением сейсмической активности и землетрясений.",SEISMOLOGIK,""
ЗА РУБЕЖ,За пределами страны или в иностранном государстве.,CHET,""
ПОСЕТИТЕЛЬ,"Человек, который приходит в какое-либо место для осмотра, участия или отдыха.",MEHMON,""
КАРБЮРАТОР,Устройство для подготовки топливной смеси для двигателя внутреннего сгорания.,KARBURATOR,""
ЗА БУГОР,"За границей, за пределами родной страны.",Tepadan,""
СЕЙСМОЛОГИЧЕСКАЯ СТАНЦИЯ,"Научное учреждение, занимающееся изучением землетрясений и сейсмических явлений.",SEISMOLOGIK,""
ЗА ГРАНИЦА,"Местность или территория, находящиеся вне пределов страны.",CHET,""
ЗАГРАНИЦА,Страна или территория за пределами своей страны.,CHET,""
ЗАРУБЕЖНЫЕ РЕГИОНЫ,"Зарубежные регионы - это территории или страны, находящиеся за пределами родной страны.",XORIJIY,"Xorijiy - boshqa davlat yoki mintaqaga oid, tashqi."
ЗАРУБЕЖНЫЙ МИР,Зарубежный мир — это страны и нации за пределами родной страны.,CHET,""
ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,"Параметр, отражающий финансовое состояние и результаты деятельности организации.",MOLIYAVIY,""
ОДИССЕЯ,Долгое и сложное путешествие или приключение.,ODYSSEY,Uzoq va mashaqqatli sayohat yoki safar.
ФИНАНСОВЫЙ ИНДИКАТОР,"Показатель, отражающий состояние и динамику финансовых процессов в экономике.",MOLIYAVIY,""
СТРАНСТВОВАНИЕ,Долгое путешествие или передвижение по разным местам.,Sarguzasht,""
УРЕЗКА,Урезка — уменьшение размеров или количества чего-либо.,TRUNKING,""
ПУТЕШЕСТВИЕ,"ПУТЕШЕСТВИЕ — процесс перемещения из одного места в другое, часто с целью отдыха или изучения.",Sayohat,""
УРЕЗАНИЕ,"Сокращение или уменьшение объема, размера, количества чего-либо.",KESISH,""
СТРАНСТВИЕ,"Путешествие по разным местам, часто без определенной цели или постоянного проживания.",SADARISH,""
УРЕЗ,"Урез — это уменьшение или сокращение чего-либо, часто в контексте границ или величины.",HOZIRGI,""
ФИНАНСОВО-ЭКОНОМИЧЕСКИЙ ПОКАЗАТЕЛЬ,"Цифровое значение, отражающее финансовое состояние или эффективность экономической деятельности.",MOLIYAVIY-IQTISODIY,""
ВНЕШНЯЯ ЧЕРТА,Внешняя черта — видимая характеристика или особенность объекта.,TAShQI,""
ВОЯЖ,"Поездка или путешествие, часто с элементом приключения.",VOYAGE,""
НАДРЫВ,"Надрыв — сильное, иногда мучительное напряжение или повреждение, которое вызывает боль.",YIRTISH,""
ЖЕВАЧКА,"Жевательная резинка, предназначенная для chewing.",SAKIQ,""
БАББЛ-ГУМ,"Сладкая жевательная резинка с пузырьками, часто с фруктовым вкусом.",SAKIQ,""
ЖЕВАТЕЛЬНАЯ РЕЗИНКА,"Маленький эластичный предмет, используемый для закрепления волос или других предметов.",SAKIQ,""
БАББЛЬ-ГАМ,Жевательная резинка с пузырьковым эффектом.,GUM,""
БАББЛ-ГАМ,"Жевательная резинка с ярким вкусом и ароматом, часто с пузырьковым эффектом.",GUM,""
РУКОВОДИТЕЛЬ ОРГАНИЗАЦИИ,"Человек, отвечающий за управление и руководство организацией.",TASHKILOT,""
ГЛАВА УЧРЕЖДЕНИЯ,"Руководитель или начальник учреждения, ответственный за его деятельность.",MASSASA,""
БАББЛЬ-ГУМ,Сладкая жевательная резинка с пузырьками.,GUM,""
ЖВАЧКА,"Сладкая резиновая масса, предназначенная для жевания.",SAKIQ,""
САКСОФОН,Музыкальный духовой инструмент с медным корпусом и гибкой мундштуковой трубкой.,SAKSOFON,""
СГЛАЖИВАНИЕ,Процесс выравнивания или сглаживания поверхности.,SUMLASH,""
РУКОВОДИТЕЛЬ УЧРЕЖДЕНИЯ,"Лицо, ответственное за управление и руководство организацией или учреждением.",MASSASA,""
ХОРВАТСКИЙ ГОРОД,"Город в Хорватии, административный или исторический центр.",XORVATIYA,""
